اسم	pangalan
سنة	taon
ذلك	na
عبد	abdul
عبد	alipin
مدينة	lungsod
اليمن	yemen
خريطة	mapa
فرق	pagkakaiba
قدم	paa
قدم	talampakan
القدم	paa
القدم	talampakan
القدم	hita
البلد	bansa
نادي	club
المساحة	lugar
مصر	ehipto
الحرب	digmaan
قرية	nayon
رئيس	pangulo
رئيس	chief
رئيس	bossing
الوفاة	kamatayan
الخريطة	mapa
مجلس	konseho
فيلم	pelikula
المملكة	kaharian
المملكة	lupain
المملكة	saudi
البريدي	postal
خلفية	background
مارس	marso
مارس	marte
جنوب	katimugang
جنوب	timog
يوليو	hulyo
الاتحاد	unyon
الاتحاد	pederasyon
الاتحاد	kompederasyon
العراق	iraq
سبتمبر	setyembre
نوفمبر	nobyembre
واحدة	isa
درجة	degree
متر	metro
متر	meters
متر	meter
شرق	silangan
شرق	silangang
ويكيبيديا	wikipedia
المغرب	morocco
حرب	digmaan
القاهرة	cairo
سوريا	syria
سوريا	syrian
الجمهورية	republika
مدرسة	paaralan
المعلومات	info
المعلومات	impormasyon
بناء	gusali
بناء	konstruksiyon
بناء	bumuo
بناء	nakabubuti
التعليم	edukasyon
قالب	template
عضو	miyembro
لغة	wika
الجزائر	algeria
معركة	labanan
جبل	bundok
الجزء	bahagi
الجزء	segment
مقالة	sanaysay
مقالة	artikulo
قناة	canal
قناة	channel
شهر	buwan
جزيرة	isla
جمهورية	republika
عمان	oman
عمان	aman
لبنان	lebanon
عالم	mundo
عالم	siyentipiko
الكويت	kuwait
تونس	tunisia
تونس	tunis
نهر	ilog
عين	mata
عين	ain
الماء	tubig
معلومات	info
معلومات	impormasyon
دولار	dolyar
الميلاد	kapanganakan
الحركة	galaw
الحركة	aksiyon
الحركة	paggalaw
الطاقة	enerhiya
الطاقة	power
جزء	bahagi
طول	haba
الهند	india
بغداد	baghdad
الصين	tsina
باريس	paris
هم	kanila
هم	sila
قانون	batas
سباق	lahi
سباق	racing
حكومة	pamahalaan
لندن	london
الجنوب	timog
وزير	ministro
سعود	saud
الداخلية	panloob
الداخلية	natatagong
جدا	napaka
كاليفورنيا	california
البحرين	bahrain
المسيحية	christian
المسيحية	kristiyanismo
نصف	kalahati
المستخدم	gumagamit
طائرة	eroplano
طائرة	plane
طائرة	airplane
مسلسلات	serye
توضيح	paglilinaw
توضيح	paliwanag
مملكة	kaharian
مملكة	lupain
الجسم	katawan
سلطنة	sultanato
قبيلة	tribo
لجنة	komite
نطاق	scope
نطاق	saklaw
ويكي	wiki
جورج	george
بيروت	beirut
الحدود	borders
الحدود	hangganan
الحدود	frontier
وفاة	kamatayan
كندا	canada
سورة	surah
سورة	sura
السورية	syrian
السعودي	saudi
سابق	dating
قطر	qatar
باب	bab
باب	pinto
الرياض	riyadh
السودان	sudan
الدينية	relihiyoso
تكساس	texas
السينما	sinehan
اليد	kamay
المحيط	perimeter
المحيط	karagatan
كوريا	korean
كوريا	korea
المهنة	career
المهنة	propesyon
كيف	paano
الكويكب	asteroid
ليبيا	libya
ثقافة	kultura
بكر	bakr
الهواء	hangin
جيش	hukbo
المالية	pinansyal
المالية	pananalapi
حلب	aleppo
النقل	paglilipat
النقل	transportasyon
الواقع	katotohanan
