日	יום
村	כפר
重	כבד
也	גם
克	גרם
新	חדש
研究	למידה
研究	מחקרים
研究	מחקר
日本	יפן
小	קטן
小	זעירה
区	אזור
区	מחוז
政府	ממשלות
政府	ממשלה
高	גבוה
高	גאו
南	נאן
南	דרום
南	נאם
金	זהב
金	קים
林肯	לינקולן
人民	אנשים
塔	פגודה
塔	מגדל
时间	זמן
元	מטה
元	יואן
元	דולרים
元	זכיתי
六	שש
第二	שניה
管理	ניהול
管理	לנהל
性	המיניות
性	מיניות
性	מין
公里	קילומטר
公里	קילומטרים
这	זה
大学	אוניברסיטאות
大学	אוניברסיטה
大学	מכללה
政治	פוליטיקה
政治	פוליטיות
星	כוכב
星	כוכבים
她	היא
他的	שלו
文化	תרבות
文化	תרבויות
马	סוסים
马	סוס
电影	סרט
电影	קולנוע
电影	סרטים
季	עונה
季	עונות
足球	כדורגל
一些	כמה
长	ארוך
第三	שלישי
波	גל
周	שבוע
周	שבועות
奖	פרסים
奖	פרס
白	לבן
地区	אזורים
地区	מחוז
地区	אזור
中文	סינית
黄	וונג
黄	הואנג
黄	צהוב
光	אור
需要	צורך
需要	דרושים
需要	צרכי
系列	סדרה
花	חנה
花	פרחים
花	פרח
游戏	משחק
游戏	משחקים
语	שפה
航空	תעופה
航空	אוויר
数	רוזן
数	סופרת
数	מספר
面积	אזור
刘	ליו
刘	לאו
冠军	אלופה
冠军	אלוף
冠军	אלופים
海拔	גובה
岛	אי
印度	הודו
删除	נמחקו
删除	מחיקת
删除	מחיקה
删除	הסרת
删除	למחוק
列表	רשימה
西班牙	ספרד
著名	מפורסם
已经	כבר
角色	תו
角色	תפקיד
角色	דמויות
角色	תפקידים
东京	טוקיו
新闻	חדשות
剧	דרמה
之前	לפני
活动	פעילויות
活动	ארועים
活动	אירוע
活动	פעילות
历史	היסטוריה
歌曲	שירים
歌曲	שיר
点	נקודות
点	נקודה
一次	פעם
皮	עור
非常	מאוד
书	ספר
书	ספרים
木	מעץ
木	עץ
讨论	דיונים
讨论	לדון
直接	ישיר
直接	ישירות
湖	אגם
根	שורש
根	שורשי
手	יד
手	ידות
巴士	אוטובוס
巴士	אוטובוסים
太	גם
歌	שירים
歌	שיר
湾	מפרץ
民主	דמוקרטיה
寺	מקדש
虽然	למרות
战	קרב
战	מלחמה
教授	פרופסור
杯	גביע
源	מקור
八	שמונה
法国	צרפת
除了	מלבד
女子	אשה
德国	גרמניה
票	כרטיסים
票	כרטיס
学生	סטודנטים
学生	סטודנט
语言	שפות
语言	שפה
属于	שייך
自治	אוטונומיה
甚至	אפילו
巴西	ברזיל
距离	מרחק
距离	מרחקים
加拿大	קנדה
公尺	מטרים
公尺	מטר
欧洲	אירופה
欧洲	אירופאית
功能	פונקציה
功能	תכונות
功能	מתפקד
功能	תכונה
功能	פונקציונליות
平均	ממוצע
再次	שוב
演员	הגבס
演员	שחקנים
演员	שחקנית
演员	שחקן
亚洲	אסייתית
亚洲	אסיה
直到	עד
战争	מלחמה
战争	המלחמות
玉	ירקן
法律	חוק
法律	חוקים
革命	מהפכה
革命	מהפכות
男性	זכרים
男性	זכר
男性	גברים
叶	עלה
叶	ייפ
单位	יחידות
单位	יחידה
蒙古	מונגולי
蒙古	מונגוליה
澳门	מקאו
新的	חדש
越南	וייטנאם
越南	וייטנאמים
百	מאה
分钟	דקות
分钟	דקה
政策	מדיניות
银	כסף
共和国	רפובליקה
总统	נשיא
立法	חקיקה
尾	זנב
尾	פלי
短	קצר
春	אביב
公路	הכבישים
公路	כביש
雪	שלג
火	אש
速度	מהירות
速度	ספיד
合并	מיזוג
合并	למזג
合并	מיזוגים
技术	טכניים
技术	טכנולוגיות
技术	טכניקה
技术	טכנולוגיה
技术	טכניקות
天主教	קתוליות
天主教	קתולי
富	עשיר
千	אלף
来源	מקור
来源	מקורות
首都	הון
潘	פאם
潘	פאן
父	אבא
秒	שניות
秒	שניה
秒	שנייה
小说	רומן
小说	רומנים
小说	בדיוני
父亲	אבא
和平	שלום
谷	עמק
家庭	משפחות
家庭	משפחה
宗教	דת
宗教	דתיות
宗教	דתות
当地	מקומי
当地	מקומיים
不久	בקרוב
改革	רפורמה
改革	רפורמות
建议	עצות
建议	המלצות
建议	הצעות
建议	הצעה
